participant,cluster,mean_score,std_score,distance_to_center
31: Zixi Chen,1,19.735294117647058,1.6309281009867467,2.34319128391398
32: Hoi Leong Cheong,1,19.208333333333336,2.6047499346812972,2.971980113010321
33: Diana Cooper,4,18.705882352941178,2.1143765594836976,3.495673999167593
34: Athena Deng,4,17.97449655537891,2.4149249298618742,3.642716614017101
35: Yubo Deng,1,19.298025967143616,2.0299021206873697,3.018783433457753
36: Mateusz Dubiel,2,19.058823529411764,1.9193289268418179,3.5247065123413615
37: Yu-Ang Fan,0,17.823529411764707,3.1071549309144344,4.151611115065418
38: Alberto Ferro,1,18.941176470588236,2.3840770812647323,3.8878898824346964
39: Yang (Jack) Gao,1,20.450980392156865,2.2667315446309115,3.209038412506799
40: Shuguang Gong,1,18.83756959573953,2.2995712619354154,2.756713131385186
41: Eric Guo,3,20.90196078431373,1.782494763442335,2.4148792199503926
42: Wei-Ting Hsieh,2,18.88235294117647,2.891417319870492,4.04205265768204
43: Xiaoyu Hu,2,19.294117647058822,2.391775122224938,3.631420798309154
44: Hasan Ignatov,4,18.529411764705884,2.2670919439566055,3.4449163890807024
45: Zihan Jin,2,19.794117647058822,1.7505251312946404,3.899581371054834
46: Adam Kałduński,2,20.261541325390915,2.2589243282599236,2.897198950646122
47: David Khrikuli,3,20.63235294117647,2.3537165542280274,3.6785542354963066
48: Antoni Kłeczek,4,17.74573917981827,2.3433633471400235,3.5189566444563414
49: Kaito Kobayashi,2,18.764705882352942,2.6816369013325114,4.049258818675027
50: Mateusz Krzyżowski,2,18.941176470588236,3.0510364680566773,4.4790477289288715
51: Shiori Kuwahara,3,21.220588235294116,1.6603895272956104,2.57841768789266
52: Shushi Kyomasu,1,19.352941176470587,2.1777619380509727,3.3765354784672907
53: Hyo Lee,3,20.778737745098038,1.2720361803894467,2.4692448474321567
54: Hyuk Lee,3,20.58265931372549,1.5180507927116444,2.2574568230813177
55: Kwanwook Lee,2,19.352941176470587,1.5688840170081182,2.9692565103580657
56: Luwangzi Li,1,19.11764705882353,2.5710492250532773,4.017872446847552
57: Tianyou Li,3,20.647058823529413,1.2185378774677171,3.162506082247337
58: Xiaoxuan Li,3,20.227941176470587,1.4311542943998332,2.466887253309954
59: Zhexiang Li,2,19.529411764705884,1.9880155639111432,3.078782512656814
60: Hao-Wei Lin,0,16.941176470588236,3.268611865824966,2.7191591938527404
61: Pedro Lopez Salas,0,15.235294117647058,3.6662210067845384,4.122627671946759
62: Eric Lu,3,21.93282988871224,1.6783274067388403,2.9973673323521317
63: Philipp Lynov,2,19.976176470588236,1.698425308752718,2.9829378633598083
64: Tianyao Lyu,3,21.18801191362621,1.6202018087716925,3.0239731019324325
65: Tiankun Ma,2,19.647058823529413,2.49852897898414,3.491968128744065
66: Xuanyi Mao,2,18.764705882352942,2.9692046865428856,4.374435747166457
67: Ruben Micieli,2,19.794117647058822,2.016020395555094,2.5984379256085446
68: Nathalia Milstein,2,20.08823529411765,2.173960197698309,3.0753090902450673
69: Yumeka Nakagawa,3,19.88235294117647,1.9326909006996071,2.895750847944996
70: Yulia Nakashima,4,17.529411764705884,1.7719215226281724,2.4562994250075265
71: Viet Trung Nguyen,2,19.191254535332885,2.012806006308142,3.4578589063535445
72: Yuya Nishimoto,4,18.803800532558704,2.766519532277688,4.273461409905186
73: Vincent Ong,3,21.044117647058822,2.204815918686664,3.7250624164384756
74: Arisa Onoda,4,17.562731849496554,2.2509775307633335,3.403580990575243
75: Piotr Pawlak,2,20.215686274509807,2.4436458885767736,3.698001288443785
76: Yehuda Prokopowicz,2,20.15686274509804,1.744505847968063,2.3338261483777982
77: Hao Rao,3,20.205882352941178,2.404805238536817,3.816162137486414
78: Anthony Ratinov,3,20.41421568627451,1.8378537185667616,2.9431207568766937
79: Zuzanna Sejbuk,4,17.764705882352942,2.2508168451893718,3.1997472617519938
80: Jun Shimada,1,19.235294117647058,1.8884322785284717,2.326661417480976
81: Miyu Shindo,3,20.794117647058822,1.1964638462127126,2.1375110894861686
82: Mana Shoji,1,18.967423678332093,2.1963187384629954,2.9536450567233725
83: Gabriele Strata,3,20.029411764705884,2.368217870541674,4.004159643444978
84: Eva Strejcova,4,18.176470588235293,2.984026099870087,4.0438336984451615
