Nr,imię,nazwisko,participant_name,original_rank,mean_rank_mc,std_rank_mc,min_rank_mc,max_rank_mc,rank_range_mc,rank_95_lower,rank_95_upper
9,Victoria,Wong,Victoria Wong,69,68.676,0.6426694329124423,64,70,6,67,69
84,Eva,Strejcova,Eva Strejcova,70,69.996,0.06311893535223799,69,70,1,70,70
27,Michał,Basista,Michał Basista,71,71.291,0.581651957789192,71,74,3,71,73
34,Athena,Deng,Athena Deng,72,72.512,0.8954641254679051,71,76,5,71,74
19,Andrey,Zenin,Andrey Zenin,73,72.966,1.2723380054057962,71,78,7,71,76
79,Zuzanna,Sejbuk,Zuzanna Sejbuk,74,74.296,1.1816869297745494,71,78,7,72,76
37,Yu-Ang,Fan,Yu-Ang Fan,75,74.577,1.322902490737696,71,79,8,72,77
48,Antoni,Kłeczek,Antoni Kłeczek,76,76.26,1.2043255373859676,72,79,7,74,79
74,Arisa,Onoda,Arisa Onoda,77,76.584,1.0821016588102987,72,79,7,74,79
70,Yulia,Nakashima,Yulia Nakashima,78,78.066,0.8195388947450878,75,79,4,76,79
13,Ryota,Yamazaki,Ryota Yamazaki,79,78.451,0.8146158603906506,74,80,6,76,79
21,Yonghuan,Zhong,Yonghuan Zhong,80,80.047,0.225368586985853,79,81,2,80,81
60,Hao-Wei,Lin,Hao-Wei Lin,81,80.958,0.23714130808444148,80,82,2,80,81
4,Ryan,Wang,Ryan Wang,82,81.992,0.08908422980528036,81,82,1,82,82
2,Chun,Lam U,Chun Lam U,83,83.0,0.0,83,83,0,83,83
61,Pedro Lopez,Salas,Pedro Lopez Salas,84,84.0,0.0,84,84,0,84,84
