Nr,imię,nazwisko,Garrick Ohlsson,John Alison,Yulianna Avdeeva,Michel Beroff,Sa Chen,Dang Thai Son,Akiko Ebi,Nelson Goerner,Krzysztof Jabłoński,Kevin Kenner,Momo Kodama,Robert McDonald,Piotr Paleczny,Ewa Pobłocka,K. Popowa-Zydroń,John Rink,Wojciech Świtała
35,Yubo,Deng,7.8662855214712,5.307378987382156,8.399045313303102,8.168935171302884,14.556997888323046,,16.356296765052907,14.956561286271919,12.151236062060985,6.140607445719982,10.642206215480748,10.356972148849007,14.635247121743767,14.42870642232827,14.904176922807356,5.154478359561576,5.4256995878323435
39,Yang (Jack),Gao,21.331766120891,8.688750861060328,8.399045313303102,12.072825941967219,20.78498944161523,10.421366515118786,16.356296765052907,18.359276566744825,10.265093977752057,12.105296623354782,17.26057473342952,19.208042162005835,4.972423220530603,18.048096025559886,14.904176922807356,19.25878692664189,9.438573978384746
41,Eric,Guo,9.549470596398674,12.0701227347385,15.215274478779982,17.928662097963716,11.443002111676954,10.421366515118786,8.069144258749427,14.956561286271919,15.923520230678838,12.105296623354782,18.915166862916717,14.782507155427421,12.702682341501134,14.42870642232827,10.99289459487873,15.732709784871812,11.445011173660948
43,Xiaoyu,Hu,12.915840746253625,13.760808671577587,15.215274478779982,6.216989785970718,11.443002111676954,10.421366515118786,6.41171375748873,6.44977308508965,10.265093977752057,12.105296623354782,8.987614085993554,12.569739652138214,12.702682341501134,15.635169623405476,10.99289459487873,6.917516930446615,7.432136783108544
45,Zihan,Jin,14.599025821181101,17.142180545255762,8.399045313303102,6.216989785970718,8.329006335030861,14.289316742440612,6.41171375748873,13.255203646035465,17.809662314987765,16.081756075111315,5.678429827019166,14.782507155427421,4.972423220530603,10.809316819096656,7.081612266950106,8.680555501331654,7.432136783108544
46,Adam,Kałduński,14.599025821181101,6.998064924221243,15.215274478779982,12.072825941967219,8.329006335030861,10.421366515118786,11.384005261270818,11.553846005799013,10.265093977752057,8.12883717159825,12.296798344967941,14.782507155427421,14.635247121743767,10.809316819096656,,15.732709784871812,11.445011173660948
47,David,Khrikuli,7.8662855214712,20.52355241893393,18.623389061518424,17.928662097963716,17.67099366496914,18.157266969762436,16.356296765052907,18.359276566744825,14.03737814636991,18.06998580098958,17.26057473342952,8.1442046455598,10.770117561258502,3.5705376126334283,12.948535758843043,19.25878692664189,13.451448368937148
51,Shiori,Kuwahara,14.599025821181101,13.760808671577587,15.215274478779982,17.928662097963716,17.67099366496914,12.355341628779698,16.356296765052907,14.956561286271919,14.03737814636991,8.12883717159825,17.26057473342952,3.7186696389813854,16.5678119019864,18.048096025559886,18.81545925073598,13.969671213986773,13.451448368937148
53,Hyo,Lee,16.282210896108577,17.142180545255762,15.215274478779982,10.12088055663505,8.329006335030861,16.223291856101522,16.356296765052907,11.553846005799013,15.923520230678838,12.105296623354782,12.296798344967941,12.569739652138214,18.50037668222903,,12.948535758843043,10.443594072216694,17.46432275948955
54,Hyuk,Lee,7.8662855214712,13.760808671577587,8.399045313303102,19.880607483295886,8.329006335030861,14.289316742440612,14.698866263792212,11.553846005799013,17.809662314987765,14.093526349233048,10.642206215480748,21.420809665295042,16.5678119019864,,16.859818086771668,13.969671213986773,15.457885564213349
55,Kwanwook,Lee,14.599025821181101,8.688750861060328,8.399045313303102,10.12088055663505,14.556997888323046,16.223291856101522,11.384005261270818,8.151130725326105,12.151236062060985,14.093526349233048,7.333021956506361,8.1442046455598,8.83755278101587,9.602853618019452,10.99289459487873,6.917516930446615,7.432136783108544
57,Tianyou,Li,17.965395971036052,13.760808671577587,18.623389061518424,12.072825941967219,20.78498944161523,10.421366515118786,16.356296765052907,16.657918926508373,23.468088567914545,18.06998580098958,10.642206215480748,16.995274658716628,10.770117561258502,15.635169623405476,14.904176922807356,17.495748355756852,17.46432275948955
58,Xiaoxuan,Li,16.282210896108577,10.379436797899416,11.807159896041542,15.976716712631552,8.329006335030861,10.421366515118786,13.041435762531515,11.553846005799013,8.37895189344313,18.06998580098958,8.987614085993554,,16.5678119019864,16.84163282448268,12.948535758843043,10.443594072216694,15.457885564213349
59,Zhexiang,Li,11.23265567132615,17.142180545255762,18.623389061518424,12.072825941967219,11.443002111676954,18.157266969762436,16.356296765052907,6.44977308508965,10.265093977752057,10.117066897476516,7.333021956506361,5.931437142270592,10.770117561258502,8.396390416942246,9.037253430914419,10.443594072216694,9.438573978384746
62,Eric,Lu,19.648581045963525,18.832866482094847,11.807159896041542,17.928662097963716,14.556997888323046,,18.0137272663136,20.06063420698128,12.151236062060985,16.081756075111315,18.915166862916717,,16.5678119019864,19.25455922663709,18.81545925073598,21.021825497526933,17.46432275948955
63,Philipp,Lynov,11.23265567132615,17.142180545255762,15.215274478779982,6.216989785970718,11.443002111676954,10.421366515118786,6.41171375748873,11.553846005799013,12.151236062060985,6.140607445719982,18.915166862916717,5.931437142270592,8.83755278101587,9.602853618019452,9.037253430914419,12.206632643101733,9.438573978384746
64,Tianyao,Lyu,11.23265567132615,8.688750861060328,8.399045313303102,17.928662097963716,11.443002111676954,14.289316742440612,14.698866263792212,13.255203646035465,12.151236062060985,14.093526349233048,12.296798344967941,12.569739652138214,22.3655062427143,18.048096025559886,,12.206632643101733,17.46432275948955
67,Ruben,Micieli,17.965395971036052,8.688750861060328,18.623389061518424,12.072825941967219,11.443002111676954,10.421366515118786,6.41171375748873,13.255203646035465,14.03737814636991,10.117066897476516,13.951390474455135,5.931437142270592,12.702682341501134,7.189927215865042,7.081612266950106,12.206632643101733,7.432136783108544
68,Nathalia,Milstein,14.599025821181101,15.451494608416674,8.399045313303102,14.024771327299385,8.329006335030861,8.487391401457874,11.384005261270818,13.255203646035465,8.37895189344313,14.093526349233048,10.642206215480748,12.569739652138214,6.904988000773235,7.189927215865042,7.081612266950106,13.969671213986773,7.432136783108544
69,Yumeka,Nakagawa,7.8662855214712,15.451494608416674,8.399045313303102,15.976716712631552,11.443002111676954,20.09124208342335,18.0137272663136,13.255203646035465,10.265093977752057,16.081756075111315,12.296798344967941,12.569739652138214,10.770117561258502,12.015780020173862,5.125971102985794,10.443594072216694,9.438573978384746
73,Vincent,Ong,7.8662855214712,6.998064924221243,8.399045313303102,8.168935171302884,17.67099366496914,22.02521719708426,16.356296765052907,18.359276566744825,12.151236062060985,14.093526349233048,20.569758992403912,14.782507155427421,12.702682341501134,18.048096025559886,16.859818086771668,17.495748355756852,13.451448368937148
75,Piotr,Pawlak,21.331766120891,18.832866482094847,15.215274478779982,12.072825941967219,5.21501055838477,12.355341628779698,14.698866263792212,13.255203646035465,10.265093977752057,14.093526349233048,10.642206215480748,10.356972148849007,14.635247121743767,8.396390416942246,14.904176922807356,19.25878692664189,15.457885564213349
76,Yehuda,Prokopowicz,17.965395971036052,17.142180545255762,18.623389061518424,14.024771327299385,11.443002111676954,8.487391401457874,8.069144258749427,14.956561286271919,8.37895189344313,16.081756075111315,10.642206215480748,14.782507155427421,14.635247121743767,13.222243221251066,12.948535758843043,10.443594072216694,11.445011173660948
77,Hao,Rao,6.183100446543725,10.379436797899416,15.215274478779982,10.12088055663505,11.443002111676954,8.487391401457874,6.41171375748873,18.359276566744825,10.265093977752057,10.117066897476516,7.333021956506361,16.995274658716628,16.5678119019864,14.42870642232827,10.99289459487873,8.680555501331654,11.445011173660948
78,Anthony,Ratinov,16.282210896108577,8.688750861060328,11.807159896041542,10.12088055663505,11.443002111676954,10.421366515118786,13.041435762531515,6.44977308508965,14.03737814636991,14.093526349233048,15.60598260394233,,10.770117561258502,14.42870642232827,14.904176922807356,12.206632643101733,15.457885564213349
81,Miyu,Shindo,7.8662855214712,13.760808671577587,8.399045313303102,15.976716712631552,14.556997888323046,14.289316742440612,9.726574760010124,8.151130725326105,12.151236062060985,14.093526349233048,15.60598260394233,10.356972148849007,18.50037668222903,16.84163282448268,18.81545925073598,15.732709784871812,19.470759954765754
83,Gabriele,Strata,6.183100446543725,17.142180545255762,15.215274478779982,6.216989785970718,14.556997888323046,20.09124208342335,18.0137272663136,20.06063420698128,10.265093977752057,6.140607445719982,15.60598260394233,14.782507155427421,14.635247121743767,9.602853618019452,9.037253430914419,15.732709784871812,15.457885564213349
