Nr,imię,nazwisko,participant_name,original_rank,mean_rank_mc,std_rank_mc,min_rank_mc,max_rank_mc,rank_range_mc,rank_95_lower,rank_95_upper
7,Andrzej,Wierciński,Andrzej Wierciński,50,49.678,2.0382139240030717,46,56,10,47,54
38,Alberto,Ferro,Alberto Ferro,51,50.926,2.175896137227143,46,56,10,47,55
49,Kaito,Kobayashi,Kaito Kobayashi,52,51.951,2.1063235743826256,47,57,10,47,55
14,Fanze,Yang,Fanze Yang,53,52.362,2.138914678055205,46,57,11,48,56
82,Mana,Shoji,Mana Shoji,54,53.222,2.1332407271566893,46,57,11,48,56
40,Shuguang,Gong,Shuguang Gong,55,53.882,1.6703520586990037,48,57,9,50,56
72,Yuya,Nishimoto,Yuya Nishimoto,56,55.877,1.1780793691428435,49,60,11,53,58
17,Yichen,Yu,Yichen Yu,57,56.76,0.8912911982062877,52,60,8,55,58
33,Diana,Cooper,Diana Cooper,58,58.091,0.748811725335548,55,61,6,57,60
10,Maiqi,Wu,Maiqi Wu,59,58.99,0.6571909920259101,57,61,4,58,60
22,Hanyuan,Zhu,Hanyuan Zhu,60,60.399,1.264040743014243,56,66,10,58,63
66,Xuanyi,Mao,Xuanyi Mao,61,61.138,1.1588597844433122,58,66,8,59,64
44,Hasan,Ignatov,Hasan Ignatov,62,62.599,1.4234461703907175,59,68,9,60,66
6,Jan,Widlarz,Jan Widlarz,63,62.697,1.269326987028953,59,68,9,60,65
18,Yuewen,Yu,Yuewen Yu,64,63.962,1.6163403107019263,59,69,10,61,67
1,Ziye,Tao,Ziye Tao,65,65.308,1.597227598058586,60,69,9,62,68
8,Krzysztof,Wierciński,Krzysztof Wierciński,66,65.645,1.3019120554015928,61,69,8,63,68
16,Yuanfan,Yang,Yuanfan Yang,67,66.524,1.1195642009282003,63,69,6,64,68
23,Jingting,Zhu,Jingting Zhu,68,67.718,1.0151236377899986,63,70,7,65,69
9,Victoria,Wong,Victoria Wong,69,68.722,0.581993127107185,65,70,5,67,69
84,Eva,Strejcova,Eva Strejcova,70,69.995,0.08351646544245032,68,70,2,70,70
27,Michał,Basista,Michał Basista,71,71.258,0.5616368933750703,71,75,4,71,73
34,Athena,Deng,Athena Deng,72,72.538,0.9069487306347586,71,76,5,71,74
19,Andrey,Zenin,Andrey Zenin,73,72.899,1.1784731647347766,71,78,7,71,75
79,Zuzanna,Sejbuk,Zuzanna Sejbuk,74,74.337,1.1416790266970833,71,78,7,72,77
37,Yu-Ang,Fan,Yu-Ang Fan,75,74.543,1.2744218296937635,71,79,8,72,77
48,Antoni,Kłeczek,Antoni Kłeczek,76,76.305,1.2091215819759402,72,79,7,74,79
74,Arisa,Onoda,Arisa Onoda,77,76.61,1.0601414999895062,72,79,7,74,79
70,Yulia,Nakashima,Yulia Nakashima,78,78.141,0.8301319172276176,75,80,5,76,79
13,Ryota,Yamazaki,Ryota Yamazaki,79,78.37,0.7969316156358713,74,79,5,76,79
21,Yonghuan,Zhong,Yonghuan Zhong,80,80.041,0.20327075539781905,79,81,2,80,81
60,Hao-Wei,Lin,Hao-Wei Lin,81,80.961,0.2085161864220617,80,82,2,80,81
4,Ryan,Wang,Ryan Wang,82,81.997,0.054690035655501276,81,82,1,82,82
2,Chun,Lam U,Chun Lam U,83,83.0,0.0,83,83,0,83,83
61,Pedro Lopez,Salas,Pedro Lopez Salas,84,84.0,0.0,84,84,0,84,84
