rank1,participant1,score1,rank2,participant2,score2,score_diff,t_statistic,p_value,significant_05,significant_01,cohens_d,effect_size
31,William Yang,20.22,32,Zhexiang Li,19.89,0.3299999999999983,0.49005161506932643,0.6275478284089302,False,False,0.17638873934228433,small
32,Zhexiang Li,19.89,33,Kwanwook Lee,19.87,0.019999999999999574,0.030090439769353574,0.9761818162386711,False,False,0.010638577004897643,small
33,Kwanwook Lee,19.87,34,Gabriele Strata,19.84,0.030000000000001137,0.044875370716027256,0.9644855215124757,False,False,0.015865839470781542,small
34,Gabriele Strata,19.84,35,Yumeka Nakagawa,19.78,0.05999999999999872,0.07453006015461444,0.9410525924780874,False,False,0.026350355468784586,small
35,Yumeka Nakagawa,19.78,36,Yubo Deng,19.72,0.060000000000002274,0.0803542695860372,0.936472018000387,False,False,0.028929344384071097,small
36,Yubo Deng,19.72,37,Tianyou Li,19.69,0.029999999999997584,0.0366041544383679,0.9710353308721311,False,False,0.01313238676532685,small
37,Tianyou Li,19.69,38,Miki Yamagata,19.61,0.08000000000000185,0.11662551759229699,0.9078856963143704,False,False,0.041233347174452095,small
38,Miki Yamagata,19.61,39,Xiaoyu Hu,19.6,0.00999999999999801,0.0188218021134962,0.9851001310822065,False,False,0.006654511954302227,small
39,Xiaoyu Hu,19.6,40,Kai-Min Chang,19.59,0.010000000000001563,0.013127652631850902,0.9896100730656381,False,False,0.004736249111003933,small
40,Kai-Min Chang,19.59,41,Tiankun Ma,19.45,0.14000000000000057,0.19914450564335662,0.8434501533331049,False,False,0.0715466228384784,small
41,Tiankun Ma,19.45,42,Hoi Leong Cheong,19.39,0.05999999999999872,0.08084741607653993,0.9360830103112727,False,False,0.028993482039148557,small
42,Hoi Leong Cheong,19.39,43,Viet Trung Nguyen,19.37,0.019999999999999574,0.019102552302148634,0.984894771570917,False,False,0.0072841334012430595,small
43,Viet Trung Nguyen,19.37,44,Shushi Kyomasu,19.3,0.07000000000000028,0.11505916657151265,0.9091912154421117,False,False,0.04280015198117511,small
44,Shushi Kyomasu,19.3,45,Jun Shimada,19.25,0.05000000000000071,0.0768608844732413,0.9392127775033745,False,False,0.027174426309512372,small
45,Jun Shimada,19.25,46,Mateusz Dubiel,19.12,0.129999999999999,0.19921754745793782,0.8433530352160394,False,False,0.07043403936943035,small
46,Mateusz Dubiel,19.12,47,Luwangzi Li,19.03,0.08999999999999986,0.14114425689774196,0.8886407831082628,False,False,0.04990203058896473,small
47,Mateusz Krzyżowski,19.03,49,Wei-Ting Hsieh,19.02,0.010000000000001563,0.008692795213337426,0.993118208737364,False,False,0.003073367221408427,small
49,Andrzej Wierciński,19.02,51,Alberto Ferro,18.98,0.03999999999999915,0.044594538076215356,0.9647165212209035,False,False,0.01602301868630605,small
51,Alberto Ferro,18.98,52,Kaito Kobayashi,18.96,0.019999999999999574,0.033913209113174296,0.9731570196144758,False,False,0.011990130067861482,small
52,Kaito Kobayashi,18.96,53,Fanze Yang,18.95,0.010000000000001563,0.01216187827357074,0.9903719730083136,False,False,0.004299873299603606,small
53,Fanze Yang,18.95,54,Mana Shoji,18.93,0.019999999999999574,0.030037047977066564,0.9762300573167574,False,False,0.010781280154055033,small
54,Mana Shoji,18.93,55,Shuguang Gong,18.91,0.019999999999999574,0.017197338129604774,0.9863930521467743,False,False,0.006279580015085491,small
55,Shuguang Gong,18.91,56,Yuya Nishimoto,18.84,0.07000000000000028,0.1012472369275633,0.9200278661142676,False,False,0.036970263700197646,small
56,Yuya Nishimoto,18.84,57,Yichen Yu,18.79,0.05000000000000071,0.05912620365267542,0.9532311000535791,False,False,0.02125541423366854,small
57,Yichen Yu,18.79,58,Diana Cooper,18.71,0.0799999999999983,0.105268486792919,0.9168198661045889,False,False,0.03721803042825977,small
58,Diana Cooper,18.71,59,Maiqi Wu,18.66,0.05000000000000071,0.08090432546718306,0.936038119626931,False,False,0.02919692256566825,small
59,Maiqi Wu,18.66,60,Hanyuan Zhu,18.59,0.07000000000000028,0.09390907395557015,0.9258057900494701,False,False,0.03429074543992444,small
60,Hanyuan Zhu,18.59,61,Xuanyi Mao,18.56,0.030000000000001137,0.037530516194757,0.970302656637031,False,False,0.013457839318866632,small
61,Xuanyi Mao,18.56,62,Hasan Ignatov,18.51,0.04999999999999716,0.07638565789479712,0.9395878660355268,False,False,0.027006408341403394,small
62,Hasan Ignatov,18.51,63,Jan Widlarz,18.5,0.010000000000001563,0.007834288648705933,0.9937994062782207,False,False,0.002824699724977895,small
63,Jan Widlarz,18.5,64,Yuewen Yu,18.46,0.03999999999999915,0.05362648897253262,0.9575768577258978,False,False,0.019364069904897117,small
64,Yuewen Yu,18.46,65,Ziye Tao,18.41,0.05000000000000071,0.05962604077915362,0.9528362096393985,False,False,0.02145491130460661,small
65,Ziye Tao,18.41,66,Krzysztof Wierciński,18.4,0.010000000000001563,0.014000361188558448,0.9889194099342586,False,False,0.00501495209719019,small
66,Krzysztof Wierciński,18.4,67,Yuanfan Yang,18.38,0.019999999999999574,0.04616967077418471,0.9634619490687665,False,False,0.016323443644788188,small
67,Yuanfan Yang,18.38,68,Jingting Zhu,18.33,0.05000000000000071,0.07713094687548173,0.9390150521722642,False,False,0.027709784559202397,small
68,Jingting Zhu,18.33,69,Victoria Wong,18.29,0.03999999999999915,0.07548576650067215,0.9403293621039231,False,False,0.02756350472199063,small
69,Victoria Wong,18.29,70,Eva Strejcova,18.11,0.17999999999999972,0.25130985831930724,0.8032330130281955,False,False,0.09089485533359827,small
70,Eva Strejcova,18.11,71,Michał Basista,17.87,0.23999999999999844,0.3205022055265206,0.7506712795943236,False,False,0.11331464145652365,small
71,Michał Basista,17.87,72,Athena Deng,17.8,0.07000000000000028,0.1101734298812767,0.9129820006672491,False,False,0.03967109304758555,small
72,Athena Deng,17.8,73,Andrey Zenin,17.78,0.019999999999999574,0.023498797619837173,0.9814030091395858,False,False,0.008491879045341186,small
73,Andrey Zenin,17.78,74,Zuzanna Sejbuk,17.72,0.060000000000002274,0.07814289282885903,0.9382009800656856,False,False,0.02762768471040993,small
74,Zuzanna Sejbuk,17.72,75,Yu-Ang Fan,17.71,0.00999999999999801,0.014029349615792285,0.98889367100649,False,False,0.004960124124481806,small
75,Yu-Ang Fan,17.71,76,Antoni Kłeczek,17.64,0.07000000000000028,0.09052704552996801,0.9284701365821637,False,False,0.0332325577192119,small
76,Antoni Kłeczek,17.64,77,Arisa Onoda,17.62,0.019999999999999574,0.019421850501610608,0.9846375936863195,False,False,0.0072085493170011075,small
77,Arisa Onoda,17.62,78,Yulia Nakashima,17.56,0.060000000000002274,0.10023740491468194,0.920801314327489,False,False,0.03594449423886039,small
78,Yulia Nakashima,17.56,79,Ryota Yamazaki,17.54,0.019999999999999574,0.03656252715702254,0.9710609601463184,False,False,0.012926805445023969,small
79,Ryota Yamazaki,17.54,80,Yonghuan Zhong,17.33,0.21000000000000085,0.28560481782143193,0.7770805461677015,False,False,0.10274600093506306,small
80,Yonghuan Zhong,17.33,81,Hao-Wei Lin,17.22,0.10999999999999943,0.15858317872336453,0.875025882639262,False,False,0.057022775825855625,small
81,Hao-Wei Lin,17.22,82,Ryan Wang,17.07,0.14999999999999858,0.2525522659031085,0.8022294669866299,False,False,0.08929070991205805,small
82,Ryan Wang,17.07,83,Chun Lam U,15.79,1.2800000000000011,2.30189004046107,0.028222568888956023,True,False,0.8257645680015149,large
83,Chun Lam U,15.79,84,Pedro Lopez Salas,15.33,0.4599999999999991,0.6538017015975226,0.5180604199754795,False,False,0.236009375140993,small
